moving_x,moving_y,fixed_x,fixed_y
1843.5258064516129,4183.852,503.9102822580644,4838.512486895161
1870.7774193548385,3720.5745806451605,503.9102822580644,4359.1209546370965
2088.790322580645,2530.587483870967,672.5850806451617,2920.946357862903
4632.274193548387,2603.2584516129027,3619.955241935484,2858.8030110887094
2942.674193548387,4756.1358709677415,1702.3891129032254,5415.557849798386
2960.8419354838707,5846.200387096774,1853.3086693548394,6791.589099798386
4523.267741935484,5818.948774193548,3611.0776209677406,6631.791922379031
5222.725806451613,4728.884258064516,4472.206854838709,5291.271156249999
7257.5129032258055,3220.9616774193546,6904.674999999997,3577.890309475806
5631.499999999999,1504.1100645161287,4845.06693548387,1509.4046239919353
3524.0419354838705,1304.264903225805,2563.5183467741936,1385.1179304435482
6748.816129032258,1031.7487741935474,6300.996774193545,994.5026078629035
6966.829032258064,4147.5165161290315,6558.447782258065,4660.960067540322
